id_str,created_at,text,name,screen_name,profile_image_url
'474192658340925441',"Wed Jun 04 14:15:14 +0000 2014","Chegg acquires online tutoring service InstaEDU for $30 million http://t.co/BlIP9249eg","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'474192623813414913',"Wed Jun 04 14:15:06 +0000 2014","Bifurcation of Andhra: Now, the ‘reel’ fight begins  http://t.co/X235xMIFbZ","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'474192304018685953',"Wed Jun 04 14:13:50 +0000 2014","RT @sujitjohn: Mohandas Pai, Balakrishnan raise Rs 100 crore fund for tech startups - The Times of India http://t.co/zcgX3tA8o5","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'474191567725420544',"Wed Jun 04 14:10:54 +0000 2014","By repeatedly trivialising crimes against women has UP Govt revealed its inability to check the lawlessness? Tweet using #LooseCannons","TIMES NOW",timesnow,http://pbs.twimg.com/profile_images/435356011675676673/PphPL0SF_normal.jpeg
'474188906389180416',"Wed Jun 04 14:00:19 +0000 2014","10 top leaders facing the heat after Lok Sabha poll rout  http://t.co/dQmy0HFWwl http://t.co/q21psmDbyD","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'474188885732622337',"Wed Jun 04 14:00:15 +0000 2014","Daughter Pankaja lights Gopinath Munde's funeral pyre, takes over his political mantle http://t.co/jz10tKMcej","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'474188141562044416',"Wed Jun 04 13:57:17 +0000 2014","Police arrest 6 people in connection with the murder of Pune techie who was beaten to death for allegedly uploading derogatory Facebook post","TIMES NOW",timesnow,http://pbs.twimg.com/profile_images/435356011675676673/PphPL0SF_normal.jpeg
'474186692362907650',"Wed Jun 04 13:51:32 +0000 2014",".@Nitin_Gadkari given additional charge of #GopinathMunde's ministries (ANI)","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'474186312656748544',"Wed Jun 04 13:50:01 +0000 2014","US in touch with India, Afghanistan on abduction of aid worker - http://t.co/TqkBZy2RZA","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'474185429801902081',"Wed Jun 04 13:46:31 +0000 2014","Wearing seat belt could have saved Gopinath Munde: Harsh Vardhan http://t.co/8jsTWbVOpd?","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
